i want to fly from baltimore to dallas round trip	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
could you tell me what the earliest flight that goes between atlanta and denver is which serves a meal	O O O O O O B-flight_mod O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-meal
thank you for that information now i would like to book a flight from philadelphia to boston on the night of april sixteen around 9 o'clock	O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number B-depart_time.time_relative B-depart_time.time I-depart_time.time
show me all the flights that arrive in baltimore in the evening	O O O O O O O O B-toloc.city_name O O B-arrive_time.period_of_day
afternoon flights from boston to san francisco please that leave in the afternoon	B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-depart_time.period_of_day
show me the first flight that arrives in toronto from cincinnati	O O O B-flight_mod O O O O B-toloc.city_name O B-fromloc.city_name
flights from boston to pittsburgh	O O B-fromloc.city_name O B-toloc.city_name
show me the flights from love field to all other airports	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O
i need to fly from denver to san francisco tuesday	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name
i'm requesting flight information on a flight from denver to san francisco on wednesday	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
what flights are there from cleveland to miami on us air that arrive in miami before 4 pm	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
i would like the first flight from dallas into houston on march first and the last flight from houston back to dallas on march first	O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O O B-flight_mod O O B-fromloc.city_name O O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
i'd like to see the flights from baltimore to philadelphia	O O O O O O O B-fromloc.city_name O B-toloc.city_name
show me all flights from dallas to pittsburgh on monday which leave after 8 o'clock pm	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time
what are the flights from atlanta to baltimore which arrive in baltimore at 7 o'clock pm	O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name O B-arrive_time.time I-arrive_time.time I-arrive_time.time
flights from cincinnati to dallas departing after 718 am	O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
from new york to toronto on thursday morning	O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
i would like to book a flight from denver to pittsburgh on july fifteenth i'd like it to be the cheapest flight	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O O O O O O B-cost_relative O
i want a cheap from denver to atlanta	O O O B-flight_mod O B-fromloc.city_name O B-toloc.city_name
coach class flights on twa from columbus to st. paul	B-class_type I-class_type O O B-airline_code O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
nonstop flights seattle to boston	B-flight_stop O B-toloc.city_name O B-toloc.city_name
yes on the delta flight leaving san francisco at 225 pm arriving philadelphia 1158 pm what type of equipment is used on that flight	O O O B-airline_name O O B-fromloc.city_name I-fromloc.city_name O B-depart_time.time I-depart_time.time O B-toloc.city_name B-arrive_time.time I-arrive_time.time O O O O O O O O O
all flights from denver to philadelphia	O O O B-fromloc.city_name O B-toloc.city_name
flights from los angeles to pittsburgh	O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
are there any flights from dallas fort worth to boston leaving before 10 am	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
what is the earliest flight leaving boston and arriving in atlanta on november seventh	O O O B-flight_mod O O B-fromloc.city_name O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number
i need to know information for flights leaving dallas on tuesday evening and returning to atlanta	O O O O O O O O B-fromloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O O O B-toloc.city_name
okay let's see do you have a flight on delta airline from atlanta to boston	O O O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
show me all flights from oakland to philadelphia on saturday which serve a meal and arrive in philadelphia before noon	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O O B-meal O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time
what flights do you have leaving denver and arriving in san francisco	O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name
show me the flights from chicago to indianapolis	O O O O O B-fromloc.city_name O B-toloc.city_name
i need a flight from kansas city to newark on the first of july	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number O B-depart_date.month_name
show me the least expensive flight from miami to new york on a sunday with first class fare	O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.day_name O B-class_type I-class_type O
looking for flights in toronto to san diego	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the earliest flight from denver to san francisco on the morning of august twenty seventh	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
show me the flights from san diego to newark new jersey	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name
nonstop flights denver to kansas city	B-flight_stop O B-toloc.city_name O B-toloc.city_name I-toloc.city_name
i would like an american airlines flight from cincinnati to burbank leaving this afternoon	O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day
list all flights going from boston to atlanta on wednesday after 6 o'clock pm on wednesday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O B-depart_date.day_name
show me next wednesday's flights between phoenix and milwaukee	O O B-depart_date.date_relative B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name
what classes of service does twa have	O O O O O B-airline_code O
does midwest express serve baltimore	O B-airline_name O O B-city_name
i would like to fly from baltimore to san francisco on eastern airlines	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
i'd like a flight from san diego to toronto on alaska airlines leaving around 1 pm	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
i need a flight from philadelphia to boston	O O O O O B-fromloc.city_name O B-toloc.city_name
list all nonstop flights from newark to tampa leaving on friday	O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.day_name
is there a late afternoon flight leaving washington for denver	O O O B-depart_time.period_of_day I-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
i want a flight from montreal quebec to san diego california that leaves sunday	O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name I-toloc.city_name B-toloc.state_name O O B-depart_date.day_name
a first class flight on american to san francisco on tuesday in the next week	O B-class_type I-class_type O O B-airline_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O O B-depart_date.date_relative O
i would like to see all flights from baltimore to philadelphia	O O O O O O O O B-fromloc.city_name O B-toloc.city_name
flight information on january twenty third 1992 from denver to san francisco	O O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number B-depart_date.year O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
flights from boston to pittsburgh	O O B-fromloc.city_name O B-toloc.city_name
information of a flight from atlanta to pittsburgh	O O O O O B-fromloc.city_name O B-toloc.city_name
show me flights from atlanta to washington	O O O O B-fromloc.city_name O B-toloc.city_name
round trip flights from minneapolis to san diego coach economy fare	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-class_type B-economy O
show me the flights out of love field	O O O O O O B-fromloc.airport_name I-fromloc.airport_name
what is the latest flight from philadelphia to boston	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
what are the flights from st. louis to burbank sunday evening	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day
show me the flight from detroit to westchester county with the highest one way fare	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-cost_relative B-round_trip I-round_trip O
i'd like to make a round trip from la to newark by way of charlotte	O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name
show me the flights from westchester county to cincinnati	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
show me the cheapest flight on june fourteenth arriving in baltimore starting from dallas	O O O B-cost_relative O O B-depart_date.month_name B-depart_date.day_number O O B-toloc.city_name O O B-fromloc.city_name
what is the last flight from washington to boston	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
show me all flights from atlanta to san francisco which leave the day after tomorrow after 5 o'clock pm	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time
find the earliest breakfast flight from boston to oakland	O O B-flight_mod B-meal_description O O B-fromloc.city_name O B-toloc.city_name
show me all flights between boston and washington	O O O O O B-fromloc.city_name O B-toloc.city_name
what flights from san jose to dallas on friday afternoon	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
what flights are available on wednesday from atlanta to washington dc	O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code
on tuesday the twenty third flights from philadelphia to san francisco on american airlines	O B-depart_date.day_name O B-depart_date.day_number I-depart_date.day_number O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
find travel arrangements for a round trip flight from dallas to pittsburgh after 8 pm	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
fly from dallas to baltimore	O O B-fromloc.city_name O B-toloc.city_name
on august thirtieth i would like a flight from denver to san francisco in the early am	O B-depart_date.month_name B-depart_date.day_number O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_mod B-depart_time.period_of_day
what are the flights from milwaukee to tampa	O O O O O B-fromloc.city_name O B-toloc.city_name
list daily flights from oakland to boston using united airlines	O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
could you please find me the earliest flight from boston to oakland	O O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
show me the flights from san francisco to newark that leave after 11 pm	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
i need a flight delta airlines kansas city to salt lake	O O O O B-airline_name I-airline_name B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what flights depart from charlotte to newark that leave in the afternoon or leave in the evening	O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_time.period_of_day B-or O O O B-depart_time.period_of_day
i'd like to fly from boston to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what flights from boston arrive in dallas fort worth before 5 pm	O O O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
list all flights leaving denver arriving in seattle on saturday that depart after 1230 pm	O O O O B-fromloc.city_name O O B-toloc.city_name O B-arrive_date.day_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
all flights from miami to new york	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what are the flights from denver to baltimore on united airlines	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
what flights are there on wednesday evening or thursday morning from denver to sfo	O O O O O B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.airport_code
which united airlines flights go through denver	O B-airline_name I-airline_name O O O B-stoploc.city_name
would you be able to put me on a flight with delta leaving the morning of august twenty seventh from baltimore to san francisco	O O O O O O O O O O O B-airline_name O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
can i get from dallas to san francisco leaving in the morning and arriving in the morning	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-depart_time.period_of_day O O O O B-arrive_time.period_of_day
give me the flights from indianapolis to orlando on december twenty seventh and twenty eighth	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O B-depart_date.day_number I-depart_date.day_number
no i want to go from denver to oakland	O O O O O O B-fromloc.city_name O B-toloc.city_name
show flights from pittsburgh into san francisco	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me flights from milwaukee to orlando on wednesday evening or thursday mornings	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name B-depart_time.period_of_day
find travel arrangements for a one way flight from boston to pittsburgh	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
i want a flight from toronto to san diego that stops in st. louis are there flights	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name I-stoploc.city_name O O O
show me the dinner flights from baltimore to oakland	O O O B-meal_description O O B-fromloc.city_name O B-toloc.city_name
what flights are there from memphis to las vegas	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i'm interested in flying from boston to atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name
please list any flights from oakland california to philadelphia on tuesday	O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name O B-depart_date.day_name
show me flights between memphis and las vegas on sunday	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
are there any other flights from boston to pittsburgh wednesday next week later than 5 pm	O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_date.date_relative O B-depart_time.time_relative O B-depart_time.time I-depart_time.time
between boston and denver i'd like a flight that takes the least amount of stops to get to boston	O B-fromloc.city_name O B-toloc.city_name O O O O O O O B-mod O O O O O O B-toloc.city_name
list flights from pittsburgh to baltimore	O O O B-fromloc.city_name O B-toloc.city_name
what flights from miami to indianapolis	O O O B-fromloc.city_name O B-toloc.city_name
show all flights on lufthansa airlines out of boston	O O O O B-airline_name I-airline_name O O B-fromloc.city_name
list all the flights from atlanta to charlotte north carolina that leave next monday	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name O O B-depart_date.date_relative B-depart_date.day_name
i'd like a flight from las vegas to detroit on monday	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
show me all flights from phoenix to milwaukee next wednesday	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name
i need information on a flight from washington to fort worth	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
can i go from boston to san francisco with a stopover in denver	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
show me all flights arriving at dallas	O O O O O O B-toloc.city_name
what are all of the flights into and out of atlanta's airport	O O O O O O O O O O B-fromloc.city_name O
what is the first flight from atlanta to boston leaving on thursday september fifth	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number
i'd like information on continental airlines flights from washington to philadelphia	O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name
show me all flights between san francisco and philadelphia on september fifteenth with departure time after 12 pm	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O B-flight_time I-flight_time B-depart_time.time_relative B-depart_time.time I-depart_time.time
what is the earliest flight from boston to san francisco on american airlines	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
show me all the us air flights to pittsburgh between 12 and 4 in the afternoon	O O O O B-airline_name I-airline_name O O B-toloc.city_name O B-depart_time.start_time O B-depart_time.end_time O O B-depart_time.period_of_day
what are the flights from pittsburgh to denver and back	O O O O O B-fromloc.city_name O B-toloc.city_name O O
show me all flights from pittsburgh to atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name
what flights leave atlanta at about 3 in the afternoon and arrive in san francisco	O O O B-fromloc.city_name O B-depart_time.time_relative B-depart_time.time O O B-depart_time.period_of_day O O O B-toloc.city_name I-toloc.city_name
what flight do you have from pittsburgh to san francisco on the morning of august twenty seventh	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
i'd like united airlines flights from denver to baltimore	O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name
what are all the flights from boston to dallas	O O O O O O B-fromloc.city_name O B-toloc.city_name
give me the flights from new york city to las vegas on sunday and the flights from memphis to las vegas on sunday	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
what flights leave san francisco after 8 pm and go to dallas fort worth	O O O B-fromloc.city_name I-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name
show me round trips from houston to las vegas nonstop	O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-flight_stop
what is the latest return flight from atlanta to boston	O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name
flights that go from oakland to philadelphia on friday	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what are the dinner flights from indianapolis to san diego on wednesday may twelfth	O O O B-meal_description O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number
i'd like to find the cheapest flight from washington dc to atlanta	O O O O O B-cost_relative O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name
i would like a flight from boston to san francisco on august seventeenth	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
please show all flights from philadelphia to denver airport next sunday	O O O O O B-fromloc.city_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name
show me flights from pittsburgh to san francisco on friday leaving after 12 noon	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
american flights to houston from cincinnati	B-airline_name O O B-toloc.city_name O B-fromloc.city_name
philadelphia to boston monday	B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name
please list the twa flights from las vegas to new york and fare	O O O B-airline_code O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O
show me flights from dallas to baltimore	O O O O B-fromloc.city_name O B-toloc.city_name
now i want to see return flights from miami to new york	O O O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
flight from denver to dallas fort worth	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
on july twenty third an early flight on american from philadelphia to san francisco	O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O B-flight_mod O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me all the flights from toronto on nationair	O O O O O O B-fromloc.city_name O B-airline_name
display all flights from denver to san francisco on august seven	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
show me the united flights which go from boston to washington dc	O O O B-airline_name O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code
i would like a flight as early as possible in the day leaving from boston and to denver	O O O O O O B-flight_mod O O O O O O O B-fromloc.city_name O O B-toloc.city_name
list all flights on saturday from dallas to san francisco nonstop	O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-flight_stop
what is your last trip on august twenty seventh from washington to boston	O O O B-flight_mod O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name
show me the flights from baltimore to oakland please	O O O O O B-fromloc.city_name O B-toloc.city_name O
which united airlines flight flies from boston to san francisco and makes a stopover in philadelphia	O B-airline_name I-airline_name O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-stoploc.city_name
list all daily flights between boston and oakland using american airlines	O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
what flights leave pittsburgh for denver on monday night	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
list all flights from boston to san francisco with the maximum number of stops	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-flight_stop I-flight_stop I-flight_stop I-flight_stop
does eastern airlines fly between boston and washington	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name
what delta flights are available from pittsburgh to san francisco	O B-airline_name O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
find a flight between denver and oakland the flight should be in the afternoon and arrive close to 5 pm the flight should be nonstop	O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O B-depart_time.period_of_day O O B-arrive_time.time_relative O B-arrive_time.time I-arrive_time.time O O O O B-flight_stop
on july eighth i'd like a flight from newark to orlando in the morning	O B-depart_date.month_name B-depart_date.day_number O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day
show first flight from pittsburgh to atlanta on wednesday	O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what are the flights from san jose to nashville on thursday the twentieth	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.day_number
show me all flights from san diego to los angeles	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
list all flights leaving san francisco monday afternoon arriving in pittsburgh	O O O O B-fromloc.city_name I-fromloc.city_name B-depart_date.day_name B-depart_time.period_of_day O O B-toloc.city_name
show me the delta flights from san francisco to boston	O O O B-airline_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
show me all flights from san francisco to boston philadelphia or baltimore	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.city_name O B-toloc.city_name
what are the afternoon flights for denver to san francisco	O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i would like a morning flight from milwaukee to denver colorado please	O O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O
show me all flights from atlanta to denver which leave after 5 o'clock pm the day after tomorrow	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time B-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative
give me the continental flights from seattle	O O O B-airline_name O O B-fromloc.city_name
what flights do you have between oakland and boston with a stopover in dallas fort worth	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name
what northwest airline flights leave denver before noon	O B-airline_name I-airline_name O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time
flights from columbus to milwaukee	O O B-fromloc.city_name O B-toloc.city_name
what is the latest flight on wednesday going from atlanta to washington dc	O O O B-flight_mod O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code
show flights from pittsburgh to oakland on us airlines with fare information	O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O O
all flights from pittsburgh to philadelphia	O O O B-fromloc.city_name O B-toloc.city_name
i need to fly from boston to denver and then to san francisco and back to boston	O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name I-toloc.city_name O O O B-fromloc.city_name
what's the cheapest flight from dallas to baltimore on december seventeenth	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
i want information on flights from atlanta to washington dc i want to leave wednesday after 4 pm or thursday before 9 am	O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time B-or B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
i would like to fly from boston to baltimore	O O O O O O B-fromloc.city_name O B-toloc.city_name
what are all flights from denver to philadelphia on saturday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
list the flights from toronto to salt lake city	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
what are the latest flights that i can take from baltimore to boston	O O O B-flight_mod O O O O O O B-fromloc.city_name O B-toloc.city_name
what flights are between dfw and oakland	O O O O B-fromloc.airport_code O B-toloc.city_name
i need a listing of flights from st. petersburg florida to tacoma washington leaving tomorrow and i would like to have a stopover in milwaukee please	O O O O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name O B-depart_date.today_relative O O O O O O O O O B-stoploc.city_name O
what flights from atlanta to washington	O O O B-fromloc.city_name O B-toloc.city_name
show me the cheapest flights from san francisco to philadelphia	O O O B-cost_relative O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
show all flights from pittsburgh to san francisco	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me the flights from boston to san francisco that stop in dallas	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name
from las vegas to phoenix	O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
show me the flights from boston to oakland	O O O O O B-fromloc.city_name O B-toloc.city_name
i need late flight wednesday from oakland to salt lake city	O O B-flight_mod O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
i need information from denver to pittsburgh	O O O O B-fromloc.city_name O B-toloc.city_name
please list all flights between indianapolis and orlando on the twenty seventh of december	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number I-depart_date.day_number O B-depart_date.month_name
okay i'd like a nonstop flight from houston to memphis that arrives in memphis in the early afternoon on tuesday june first	O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name O O B-depart_time.period_of_day B-arrive_time.period_of_day O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number
i'd like a flight from boston to san francisco leaving in the afternoon any time please	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-depart_time.period_of_day O O O
show me all flights from philadelphia to denver on sunday which leave philadelphia after noon	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time
flights between milwaukee and orlando one way	O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
show me the one way flights from detroit to westchester county	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
find travel arrangements for a round trip flight from dallas to pittsburgh arriving after 8 pm before 10 pm	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
